fips,county_name,peak_year_2008,peak_employment_2008,trough_year_2008,trough_employment_2008,recovery_employment_2008,n_recovery_years_2008,recovery_ratio_2008,flag_tiny_base_2008,flag_implausible_2008,never_recovered_2008,poverty_rate_2007,median_hh_income_2007,total_population_2007,rucc_2003_2007,population_density_2007,proprietor_share_2007,net_migration_rate_2007,pct_hs_plus_2007,pct_bachelors_plus_2007,birth_rate_2007,wealth_band_2008,peak_year_covid,peak_employment_covid,trough_year_covid,trough_employment_covid,recovery_employment_covid,n_recovery_years_covid,recovery_ratio_covid,flag_tiny_base_covid,flag_implausible_covid,never_recovered_covid,poverty_rate_2019,median_hh_income_2019,total_population_2019,rucc_2013_2019,population_density_2019,proprietor_share_2019,net_migration_rate_2019,pct_hs_plus_2019,pct_bachelors_plus_2019,birth_rate_2019,wealth_band_covid
01001,"Autauga County, AL",2007,23822,2009,22706,23975,2,1.006422634539501,FALSE,FALSE,FALSE,10.4,50375,52405,2,88.15637853159616,0.29228717492776174,12.88045033870814,,,13.483055216,higher,2019,25861,2020,25058,26878,2,1.0393256254591856,FALSE,FALSE,FALSE,12.1,58233,55869,2,93.9835647778217,0.3130050229307709,6.21095777622653,,,11.202671406,middle
01003,"Baldwin County, AL",2007,80932,2009,75758,78254,2,0.9669104927593536,FALSE,FALSE,FALSE,10.3,49163,172404,4,108.4380998865326,0.26457457133613715,14.112201573049347,88.25048857167134,26.431302574560284,13.312591004,higher,2019,103455,2020,99925,109931.5,2,1.0626020975303272,FALSE,FALSE,FALSE,10.1,59871,223234,3,140.40898581280143,0.28518679966152977,19.822249298941916,90.50946361376684,32.22637540149139,10.446871266,higher
01005,"Barbour County, AL",2006,10188,2013,8188,8276,2,0.81232822928936,FALSE,FALSE,TRUE,26.1,30370,27757,6,31.36355829551823,0.17730345072927783,-3.3144792304643875,,,14.740605815,lower,2019,9181,2021,8622,8354.5,2,0.909977126674654,FALSE,FALSE,TRUE,27.1,35972,24686,6,27.89353316580189,0.24932363882313155,-1.0127197601879607,,,10.331328948,lower
01007,"Bibb County, AL",2006,8555,2009,7719,8074,2,0.9437755698421976,FALSE,FALSE,FALSE,18.2,38907,22438,1,36.046717110864776,0.27056672760511885,6.952491309385863,,,12.953004442,middle,2019,8492,2020,8054,8396,2,0.988695242581253,FALSE,FALSE,FALSE,20.3,47918,22394,1,35.97603097338024,0.25910872405283786,-0.0446548182548897,,,10.723621009,lower
01009,"Blount County, AL",2006,26139,2010,22706,23372,2,0.8941428516775699,FALSE,FALSE,FALSE,13.1,43266,56240,1,87.20853601616398,0.3345323741007194,13.175675675675675,,,12.601467513,middle,2019,25486,2020,24521,25935,2,1.0176175154987053,FALSE,FALSE,FALSE,16.3,52902,57826,1,89.66786635260843,0.3706134814440798,4.444367585515166,,,11.263268078,middle
01011,"Bullock County, AL",2006,3403,2009,3213,4286.5,2,1.259623861298854,FALSE,FALSE,FALSE,34,24969,11011,6,17.67940720759776,0.1891211281792999,1.2714558169103625,,,17.876065423,lower,2019,4099,2021,3930,4026,2,0.9821907782385948,FALSE,FALSE,TRUE,30,31906,10101,6,16.218299173911994,0.2614732878324312,-6.138006138006138,,,10.75215783,lower
01013,"Butler County, AL",2006,8789,2009,7754,8093,2,0.920810103538514,FALSE,FALSE,TRUE,23.2,30460,20894,6,26.896177972527124,0.2315270935960591,1.1486551163013303,,,15.170232742,lower,2019,8078,2020,7548,7799,2,0.9654617479574152,FALSE,FALSE,TRUE,21.6,39944,19448,6,25.034788418192186,0.2265979381443299,-3.753599341834636,,,10.90099542,lower
01015,"Calhoun County, AL",2007,53255,2013,44264,44915,2,0.8433949863862548,FALSE,FALSE,TRUE,17.1,37478,116211,3,191.801192619819,0.1603733365815037,0.2409410468888487,78.39161953317932,15.207520114713612,13.442184843,middle,2019,48647,2020,46873,48221.5,2,0.9912533146956648,FALSE,FALSE,TRUE,17.2,47747,113605,3,187.5001031535271,0.1741606663360071,-3.5209717882135467,84.5796874209701,19.292145060947853,11.134704478,lower
01017,"Chambers County, AL",2006,14963,2009,11991,13601.5,2,0.90900888859186,FALSE,FALSE,FALSE,15.6,33904,34847,6,58.41382339235007,0.21340976707060447,3.759290613252217,,,11.674550343,lower,2019,15766,2020,15183,16915,2,1.0728783458074338,FALSE,FALSE,FALSE,19.6,42015,33254,6,55.74348675895225,0.24757986447241043,-12.118842845973417,,,10.590241422,lower
01019,"Cherokee County, AL",2007,11603,2010,10358,10545.5,2,0.9088597776437128,FALSE,FALSE,TRUE,18.9,37376,25553,8,46.16438009690671,0.29475232957332026,2.504598285915548,,,10.407101316,middle,2019,9897,2020,9489,9914.5,2,1.0017682125896736,FALSE,FALSE,FALSE,15.9,45982,26196,6,47.32603220829524,0.3285494010200451,7.405710795541304,,,8.5041179851,lower
