state_fips,state_abbr,state_name,peak_year_2008,peak_employment_2008,trough_year_2008,trough_employment_2008,recovery_employment_2008,n_recovery_years_2008,recovery_ratio_2008,flag_implausible_2008,never_recovered_2008,peak_year_covid,peak_employment_covid,trough_year_covid,trough_employment_covid,recovery_employment_covid,n_recovery_years_covid,recovery_ratio_covid,flag_implausible_covid,never_recovered_covid,poverty_rate_2007,median_hh_income_2007,total_population_2007,pct_rural_2007,population_density_2007,poverty_rate_2019,median_hh_income_2019,total_population_2019,pct_rural_2019,population_density_2019,proprietor_share_2007,proprietor_share_2019,net_migration_rate_2007,net_migration_rate_2019,pct_hs_plus_2007,pct_bachelors_plus_2007,pct_hs_plus_2019,pct_bachelors_plus_2019,birth_rate_2007,birth_rate_2019,pre_unemployment_2007,pre_unemployment_2019,working_age_share_2007,working_age_share_2019,share_agriculture_2007,share_mining_2007,share_utilities_2007,share_construction_2007,share_manufacturing_2007,share_wholesale_trade_2007,share_retail_2007,share_transportation_2007,share_information_2007,share_finance_2007,share_real_estate_2007,share_professional_services_2007,share_management_2007,share_administrative_waste_2007,share_education_services_2007,share_healthcare_2007,share_arts_entertainment_2007,share_accommodation_food_2007,share_other_services_2007,share_agriculture_2019,share_mining_2019,share_utilities_2019,share_construction_2019,share_manufacturing_2019,share_wholesale_trade_2019,share_retail_2019,share_transportation_2019,share_information_2019,share_finance_2019,share_real_estate_2019,share_professional_services_2019,share_management_2019,share_administrative_waste_2019,share_education_services_2019,share_healthcare_2019,share_arts_entertainment_2019,share_accommodation_food_2019,share_other_services_2019,pop_trend_2007,pop_trend_2019
01,AL,Alabama,2007,2110785,2009,1959701,2009941.5,2,0.952224646280886,FALSE,FALSE,2019,2191973,2020,2113769,2238961,2,1.0214363954300532,FALSE,FALSE,16.6,40596,4672840,28.84438585528287,92.2555770336753,15.6,51771,4903185,23.15694798381052,96.80326342820663,0.19521156572615267,0.21579755856717553,3.5740577464668166,1.798830760005996,80.3890025027143,21.38647024041882,87.1111451052333,26.349455872487916,13.920710226,11.707442426,4.06809086963339,3.193505405463893,52.547872385958,51.28947816572289,0.41269211078954793,0.4662666281255188,0.8961397325569381,6.631863545762389,16.34521956265084,4.64252504884394,14.1978855769041,3.394813429500463,2.2276086959045385,4.141083818870535,1.556853417102286,5.76933122982249,1.0886713403612884,8.026077962241283,1.574788981410861,13.738874435958426,1.0074679278444705,8.85430633479488,5.015108826503308,0.36460634512845097,0.3447042520537538,0.909355064144446,5.200530646664495,15.015333141135978,4.282930429674817,12.971729361103009,3.9519301902810686,1.8400906625634237,3.996112836906896,1.336567707773587,6.150144801942899,1.115654474644449,9.0853623517223,1.444721367853798,15.043650976425118,1.2065786084342796,11.088707040621308,4.6407132000348,0.6934609863910257,0.25785813774621413
02,AK,Alaska,2008,332562,2009,330815,336761.5,2,1.012627720545342,FALSE,FALSE,2018,332825,2020,316966,340448,2,1.022903928490949,FALSE,FALSE,9.8,62854,680300,31.812252602092496,1.190914598481305,10.2,77203,731545,31.810721609001828,1.2806226957901017,0.2122116022953593,0.21152873608710757,-3.52050565926797,-10.257742175806,90.48499589870512,25.98442930363332,93.57721595346013,30.194108970412636,16.214800878,13.678474709,6.2485543685910345,5.61397219898833,54.970895193297075,53.56088825704502,0.27266669664501414,4.330372290195854,0.7051724913233124,6.990405566161532,4.122295305799584,3.6480923551126025,14.264515311440965,7.951484132596956,2.753238683514498,3.192285208547099,1.9336034109908795,5.603770731049256,1.3289946488649789,9.29560422040626,1.1299111687058756,15.857591948360934,1.8825039550978864,10.410389950167811,4.318926012075823,0.19473829211498617,3.925335225364285,0.7895203626057191,6.0821750304750335,4.654849021213642,3.239599805261708,12.62817440399138,7.405338697442361,2.4689494322020145,2.7440738797830706,1.7198108472247906,7.295892758075412,1.9379479263768489,8.243543633076827,1.142766566907322,19.467790814843887,2.083246845881247,10.215080140845602,3.749466922795325,1.1501732041530266,0.021538556343725368
04,AZ,Arizona,2008,2846866,2011,2729837,2812388.5,2,0.987889314073792,FALSE,FALSE,2019,3270898,2020,3202106,3500456,2,1.0701819500332936,FALSE,FALSE,14.1,49923,6167681,10.816253304929356,54.26650303050279,13.5,62027,7278717,4.846595904195754,64.04198241424487,0.1997070762020337,0.2222103747798433,9.088018657255455,9.16562630474574,83.46693000803518,25.334429225984923,87.60252723205798,30.17789319127765,16.459326698,11.351869511,3.7152187785268778,4.806476970219593,51.08822910912546,49.95391358119844,0.05944039509352607,0.46221250544385006,NA,9.86868622584272,7.174942358623163,4.122309947759837,14.240279789974498,3.518172580133265,2.191807374851763,6.051065497159215,2.321003922899693,5.736892436178527,2.6775631018651973,11.17234012551116,1.857709926712364,11.474034447144012,1.9815822126385505,10.608966639754186,3.8207820093182905,0.08762197181180896,0.4094634789250226,0.4785360590612631,6.640185019664267,5.926090809407486,3.822628039566426,12.53407255527623,3.9356454671979826,2.236788912894734,6.764676297816794,2.04467840900529,6.163484776686359,2.224473646668893,11.582928593256206,2.5018348599291453,14.75009379872801,2.096501967191672,12.15218456376994,3.635986737758644,2.5794608061799673,1.5073889174078703
05,AR,Arkansas,2008,1289447,2013,1235445,1275027.5,2,0.9888172991988038,FALSE,FALSE,2019,1304288,2020,1258505,1331125.5,2,1.020576360435732,FALSE,FALSE,17.6,38239,2848650,40.59073596264897,54.79021271562229,16,49020,3017804,37.27581380367976,58.043677915523425,0.2044210797649268,0.2132290830605331,3.1867726817966404,0.7465693597065945,81.14334975104872,19.348913154403512,87.47859025679907,23.342856413298396,14.771027334,12.15753632,5.395385295565612,3.4908758340942354,51.66556087971495,50.19235841691509,0.5205045636265438,0.6170810437629144,0.6636239257563461,5.207566709040083,18.57041598670425,4.567214224280452,13.822945059036735,5.815145247729338,2.169964908606264,3.7223639517621816,1.3467376833474416,3.361947509325545,2.9412192489724203,5.765111649586399,1.274693180595109,15.537953296157209,0.8714185009895211,8.761891463938477,4.457741487258401,0.4475757342757579,0.3792290685963209,0.709666211971488,4.72493789471386,15.35104081529978,4.648807303220932,13.113826625392877,5.408214699659121,1.9865148231577487,3.7925754637368727,1.2540663892931152,3.765711427087872,3.5302002082674786,6.178918281119328,1.547292570242811,17.697514744369233,1.008303170620806,10.44992040461226,3.995052460812205,0.8832407234432349,0.31465047171137517
06,CA,California,2007,17105405,2010,16096144,16731733,2,0.978154741147608,FALSE,FALSE,2019,18621926,2020,17039766,18517491.5,2,0.994391852915751,FALSE,FALSE,12.4,59928,36250311,2.3193042399001764,232.58372509186012,11.8,80423,39512223,2.1190506036575063,253.512308128895,0.2224502582951353,0.23198419151617036,-5.277085760726301,-4.240788983196415,80.2297486147853,29.50280394596859,84.03172678227887,35.000849361820414,15.697234539,11.715706616,5.332155616858059,4.1100801293175095,53.0348663767326,53.40482108536389,0.19581531624750848,0.2167205817748781,NA,6.6843261337602975,10.189948190667058,5.957318113661035,12.438139220790536,3.3457211009574017,3.750247791658952,5.068608336691682,2.3291399360279996,8.884599884545425,2.1571416642159797,8.1837906133252,2.302505509506849,11.584624936009844,2.2118119470070763,9.830056674399945,4.222580446061293,0.18766727005474831,0.11637046344019884,0.3647138099910136,5.397451179442391,7.572026337348416,5.333585017140106,10.805542422856636,3.836661419888503,4.493780428262897,4.036470349860255,2.012422129683239,8.185850403407295,2.2967135542685795,11.002477053293896,2.8693887357361274,13.53864682618041,2.3860359568427145,11.608148677847993,3.941206009683425,0.9248378120145118,0.5784118686923856
08,CO,Colorado,2008,2577264,2010,2463009,2555061.5,2,0.9913852441969468,FALSE,FALSE,2019,3020217,2020,2870864,3103780.5,2,1.0276680450444455,FALSE,FALSE,11.5,55517,4803868,13.94511672677101,46.352761463486026,9.4,77104,5758736,12.424341035949556,55.566330327808686,0.2390529418436807,0.2496686842199192,5.1949803783118105,3.275371539865693,88.90733975423447,34.999113526093545,92.39687210609058,42.657265777144474,14.806619447,11.270545046,3.6682937819164914,2.665359511247628,55.029488736992775,54.36241564121016,0.0666724153961252,1.3697231119638928,0.4238323053866398,8.151473561545046,6.652644905316981,4.765439794664376,12.608023524186336,3.0809978317012883,4.002031003636634,5.061322724839955,2.3406642480252393,8.495000291450948,2.3850804091489586,9.343002118198052,1.8766550680429577,11.403150849711992,2.242582573352905,11.062610889859965,4.662396227805769,0.07274000562835396,1.0207052262824725,0.3882027760076856,7.074501292257132,5.197615065874384,4.199956978673714,11.341618442886764,3.384411723796616,3.8860711178105056,4.865736263096435,1.949343196969746,8.331702512380762,2.5672895594033944,11.231639112531498,2.162994219615784,12.982817346975084,2.386753636595946,12.346069371079963,4.600775030810386,1.5050016902829144,1.489185494453582
09,CT,Connecticut,2008,1791856,2013,1725770,1805333,2,1.0075212517077266,FALSE,FALSE,2019,1864181,2020,1727901,1848041.5,2,0.9913423106447282,FALSE,FALSE,7.9,65969,3527270,8.706733536134177,728.3996073923081,9.9,78920,3565287,5.058021976912378,736.2503156948292,0.214876901559097,0.23921668461764417,-3.882606094798527,-3.3545686504340324,88.03052084110311,34.65634387311576,90.7131412182245,39.8389694041868,12.013258204,9.6869650531,4.527401345720544,3.583012190082324,53.78230189353239,52.324819853212375,0.02104896613195363,0.13331011883570631,0.489583360402477,4.253905102945036,11.959515821806209,4.885893814462459,12.851043483006208,2.78229652016413,2.492548406125509,8.347929015610017,1.6521489435238048,6.663427031550062,2.7759298575686624,5.7817741939675225,4.035424630408739,16.335556901072458,1.4728429357330888,8.631830194611984,4.428403630816726,0.0217117011117821,0.04465849899339613,0.5046995432092104,3.764314934075085,10.37598295826478,4.718589701503113,11.685705575031804,3.0601147599914453,2.652792846319509,6.990062671410305,1.3293541548980363,6.906921157272673,2.131256983984695,5.774142404057358,5.247016103711726,19.19262374207019,1.9519079319864712,9.683743721320566,3.956144963957926,0.4767174234103333,-0.11669499200027689
10,DE,Delaware,2007,433960,2010,399918,414375.5,2,0.9548702645405106,FALSE,FALSE,2019,467640,2020,450194,484804,2,1.0367034470960568,FALSE,FALSE,10.3,55988,871749,21.476938889519804,447.3859645611404,11.2,70348,973764,0,499.7405748614731,0.17210492994577334,0.20624152867848217,5.125328506255815,6.549841645408949,87.42244330804012,26.113235819387217,90.32141199544311,33.20170926989383,13.930816255,11.017701237,3.409900284900285,3.561286756896654,52.82392064688345,51.223088962007225,0.03557758057312706,0.06106223048721099,0.6790019100871272,6.090579006199583,8.653174100530636,4.606413552787289,14.419265386041982,3.301397618573011,1.8308576215504255,12.586389178359749,1.4894642420082913,6.465026733650083,4.101767019835132,5.810500180411135,1.665585882008594,13.709984683977725,1.6923321482550584,8.319098095716308,4.474700807686776,0.0309619989840594,0.0916765438668634,0.6983382114607775,5.6108947533925155,7.186328342323601,4.077792022447449,13.788732735057208,3.3344621562129606,1.5268135749014295,10.086838731525605,1.454488280399603,7.638905686848407,1.5722890109092669,7.486030816864614,1.6833168041411677,17.44394184949566,2.1869330688662587,10.431049079606202,3.655209114438451,1.483326607561164,0.8903588938260043
11,DC,District of Columbia,2008,316700,2009,309461,321824,2,1.0161793495421534,FALSE,FALSE,2019,378727,2020,355967,380602.5,2,1.0049521159040682,FALSE,FALSE,17.1,54812,574404,0,9397.04871903936,14.1,90395,705749,0,11545.80702156202,0.08890084019969964,0.11950075173510952,-7.600921999150423,-9.479290796019548,85.73280999855368,47.47991361983751,91.85026081620128,59.6717774104465,15.109532146,13.49112056,5.538181818181818,5.54894669769089,56.67056636095849,59.18138034910429,NA,0.01077979733981001,NA,1.3905938568354914,0.39621255120403737,1.0788597174373122,4.385177558661897,0.793965073456619,5.095544203768969,4.015584507011268,2.1132802703309177,19.967484611289308,0.9750216695926116,7.422440458119388,10.198128275188427,13.942457881791825,1.573410419884106,11.47894419584912,14.741482860122227,NA,NA,0.42433617106571914,1.878122482631338,0.20838612322389596,0.6735674872264223,4.080359135140859,0.8193621342369702,4.702870131196272,3.827724052902089,1.9700241667391545,19.335282304576552,1.5502263504441915,5.745746237892993,10.43670318781603,13.862404647275286,2.231357762288541,14.29033368253452,13.956197312537585,0.05878260979894634,1.5222462503292622
12,FL,Florida,2007,8899131,2010,8205381,8592345.5,2,0.9655263530787443,FALSE,FALSE,2019,9923978,2020,9249306,10540806.5,2,1.0621553675350752,FALSE,FALSE,12.1,47804,18367842,6.420629053756016,342.3333919052515,12.7,59198,21477737,3.3455945568194636,400.2945233119341,0.2046235701787595,0.26682013042198877,1.4442088515351994,5.969623336015335,84.9105300624408,25.758044334470945,88.41012129418176,30.6993211664153,13.27863338,10.378480398,4.005745978931195,3.244862894332412,52.24131392245208,51.251689132798305,0.19736493901753335,0.08145091444408337,0.4072545722204168,6.885618971060011,4.8811830745323,4.303875477066275,13.84925466622296,2.9112237555470593,2.378331686493168,4.993676376177708,2.3762711722884813,6.183656997916995,1.932371769016088,18.179889893123956,1.719546239756854,12.15269730063212,2.1985821238137397,10.08649984761622,4.273317916736641,0.09112823618669076,0.041941110437174,0.31064186828911194,5.341125922427907,3.6604228286953946,3.755975423141335,12.306928116142114,3.3725686627670615,2.0084780636480053,4.243196589813006,2.087619900673157,6.046145153713718,1.7918538083679514,22.07029041171588,2.018545736013441,13.232172037107723,2.502685653183134,11.357846836391971,3.752183116061978,1.9479789636517086,1.5406717002453885
